Time,Energy,AccEnergy,Current,Voltage
Mon May  8 09:12:10 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:12 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:13 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:15 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:16 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:18 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:19 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:21 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:22 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:24 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:25 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:27 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:28 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:30 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:31 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:33 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:34 2023,0.0,0.0,0.0,0.0
Mon May  8 09:12:36 2023,0.0,0.0,0.0,0.0
